epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,297.623,0.34332,0.30671,0.2816,0.90861,0.99664,1,0.995,0.98166,0.99664,1,0.995,0.995,0.22591,0.20292,0.23038,0.87438,0.000812,0.000812,0.000812
62,302.333,0.34013,0.31098,0.2656,0.91471,0.99638,1,0.995,0.97824,0.99638,1,0.995,0.995,0.20946,0.18747,0.20581,0.87016,0.0007922,0.0007922,0.0007922
63,307.338,0.3404,0.35055,0.29193,0.92243,0.99671,1,0.995,0.995,0.99671,1,0.995,0.995,0.20826,0.18853,0.19019,0.86507,0.0007724,0.0007724,0.0007724
64,312.172,0.32159,0.31326,0.26712,0.89327,0.99699,1,0.995,0.98942,0.99699,1,0.995,0.995,0.23063,0.19934,0.20946,0.88279,0.0007526,0.0007526,0.0007526
65,317.532,0.31968,0.30152,0.28516,0.91043,0.997,1,0.995,0.995,0.997,1,0.995,0.995,0.20933,0.19305,0.19324,0.87182,0.0007328,0.0007328,0.0007328
66,321.924,0.31813,0.30965,0.2652,0.89844,0.99694,1,0.995,0.9884,0.99694,1,0.995,0.995,0.21905,0.1995,0.18126,0.87045,0.000713,0.000713,0.000713
67,326.224,0.3183,0.30283,0.25563,0.92358,0.99693,1,0.995,0.99017,0.99693,1,0.995,0.995,0.22231,0.19531,0.17502,0.87138,0.0006932,0.0006932,0.0006932
68,331.656,0.32586,0.30494,0.2643,0.90488,0.99641,1,0.995,0.96316,0.99641,1,0.995,0.995,0.23299,0.18397,0.21605,0.88631,0.0006734,0.0006734,0.0006734
69,336.019,0.31505,0.31881,0.25888,0.8895,0.99602,1,0.995,0.99017,0.99602,1,0.995,0.995,0.23108,0.18883,0.21095,0.88833,0.0006536,0.0006536,0.0006536
70,340.5,0.31025,0.31019,0.25476,0.89513,0.9963,1,0.995,0.99019,0.9963,1,0.995,0.995,0.22559,0.19232,0.20334,0.88462,0.0006338,0.0006338,0.0006338
71,345.71,0.31941,0.32255,0.26055,0.90098,0.99687,1,0.995,0.98056,0.99687,1,0.995,0.995,0.25527,0.18885,0.22047,0.89165,0.000614,0.000614,0.000614
72,350.15,0.29677,0.28252,0.24474,0.9003,0.99694,1,0.995,0.995,0.99694,1,0.995,0.995,0.22199,0.18583,0.20109,0.87454,0.0005942,0.0005942,0.0005942
73,355.477,0.31469,0.3294,0.25745,0.90261,0.99694,1,0.995,0.9903,0.99694,1,0.995,0.995,0.20049,0.2008,0.19354,0.87148,0.0005744,0.0005744,0.0005744
74,360.136,0.29481,0.27175,0.24456,0.88469,0.99674,1,0.995,0.99032,0.99674,1,0.995,0.995,0.21097,0.19497,0.18377,0.86897,0.0005546,0.0005546,0.0005546
75,364.635,0.30061,0.30586,0.24687,0.90033,0.99662,1,0.995,0.98388,0.99662,1,0.995,0.995,0.22395,0.1912,0.19888,0.87448,0.0005348,0.0005348,0.0005348
76,370.055,0.31482,0.29841,0.25527,0.89917,0.99661,1,0.995,0.98989,0.99661,1,0.995,0.995,0.22324,0.18265,0.21056,0.88115,0.000515,0.000515,0.000515
77,374.501,0.32595,0.30656,0.25769,0.91146,0.9969,1,0.995,0.97628,0.9969,1,0.995,0.995,0.20416,0.18915,0.20365,0.86729,0.0004952,0.0004952,0.0004952
78,378.974,0.28269,0.27169,0.23971,0.89441,0.99702,1,0.995,0.98961,0.99702,1,0.995,0.995,0.1993,0.18601,0.17851,0.86207,0.0004754,0.0004754,0.0004754
79,384.18,0.28365,0.27032,0.23305,0.90134,0.997,1,0.995,0.98963,0.997,1,0.995,0.995,0.19108,0.17611,0.18934,0.85801,0.0004556,0.0004556,0.0004556
80,388.486,0.30212,0.29069,0.24346,0.91771,0.99699,1,0.995,0.995,0.99699,1,0.995,0.995,0.17735,0.18099,0.17736,0.8557,0.0004358,0.0004358,0.0004358
81,393.759,0.2911,0.28285,0.23934,0.89464,0.99698,1,0.995,0.995,0.99698,1,0.995,0.995,0.17481,0.18252,0.1809,0.85195,0.000416,0.000416,0.000416
82,398.354,0.29594,0.31926,0.24349,0.90957,0.99701,1,0.995,0.995,0.99701,1,0.995,0.995,0.16441,0.18611,0.15511,0.84501,0.0003962,0.0003962,0.0003962
83,403.146,0.28064,0.3273,0.23847,0.88489,0.99701,1,0.995,0.995,0.99701,1,0.995,0.995,0.1676,0.18181,0.14994,0.84615,0.0003764,0.0003764,0.0003764
84,408.652,0.28918,0.27255,0.23499,0.89258,0.99696,1,0.995,0.995,0.99696,1,0.995,0.995,0.16256,0.18751,0.14865,0.84561,0.0003566,0.0003566,0.0003566
85,412.935,0.26477,0.29072,0.22519,0.89444,0.99699,1,0.995,0.995,0.99699,1,0.995,0.995,0.16406,0.18448,0.15481,0.84422,0.0003368,0.0003368,0.0003368
86,417.332,0.30346,0.30808,0.23435,0.87745,0.99697,1,0.995,0.995,0.99697,1,0.995,0.995,0.16224,0.18501,0.16441,0.84366,0.000317,0.000317,0.000317
87,422.68,0.27531,0.30162,0.21833,0.87533,0.99698,1,0.995,0.995,0.99698,1,0.995,0.995,0.17591,0.18678,0.15713,0.85366,0.0002972,0.0002972,0.0002972
88,427.028,0.26342,0.27449,0.22175,0.88198,0.99699,1,0.995,0.995,0.99699,1,0.995,0.995,0.18812,0.18555,0.15607,0.85354,0.0002774,0.0002774,0.0002774
89,432.145,0.26518,0.24863,0.22371,0.89174,0.99698,1,0.995,0.995,0.99698,1,0.995,0.995,0.17267,0.1845,0.167,0.84899,0.0002576,0.0002576,0.0002576
90,436.74,0.25837,0.25931,0.22131,0.86757,0.99698,1,0.995,0.99052,0.99698,1,0.995,0.995,0.16407,0.18601,0.17273,0.85031,0.0002378,0.0002378,0.0002378
91,444.152,0.2397,0.18296,0.25879,0.89997,0.99688,1,0.995,0.995,0.99688,1,0.995,0.995,0.17254,0.18002,0.16018,0.85499,0.000218,0.000218,0.000218
92,448.786,0.22973,0.17529,0.2451,0.89481,0.99691,1,0.995,0.995,0.99691,1,0.995,0.995,0.16531,0.17584,0.1693,0.84903,0.0001982,0.0001982,0.0001982
93,453.476,0.21409,0.1839,0.23253,0.8865,0.9969,1,0.995,0.995,0.9969,1,0.995,0.995,0.17128,0.17571,0.17119,0.84842,0.0001784,0.0001784,0.0001784
94,458.609,0.22258,0.17627,0.23233,0.89985,0.99697,1,0.995,0.995,0.99697,1,0.995,0.995,0.16819,0.17503,0.15254,0.84541,0.0001586,0.0001586,0.0001586
95,462.755,0.20586,0.17094,0.21482,0.86529,0.99707,1,0.995,0.995,0.99707,1,0.995,0.995,0.16223,0.17602,0.1561,0.84422,0.0001388,0.0001388,0.0001388
96,466.921,0.20866,0.17025,0.21561,0.87249,0.99704,1,0.995,0.995,0.99704,1,0.995,0.995,0.16829,0.17669,0.15109,0.8443,0.000119,0.000119,0.000119
97,472.046,0.18471,0.17637,0.1975,0.83661,0.99708,1,0.995,0.995,0.99708,1,0.995,0.995,0.15809,0.17752,0.1431,0.84358,9.92e-05,9.92e-05,9.92e-05
98,476.201,0.20283,0.18222,0.20445,0.86012,0.99706,1,0.995,0.995,0.99706,1,0.995,0.995,0.15908,0.17795,0.14793,0.84365,7.94e-05,7.94e-05,7.94e-05
99,480.264,0.19755,0.16395,0.21456,0.88304,0.99709,1,0.995,0.995,0.99709,1,0.995,0.995,0.15214,0.17832,0.14033,0.83882,5.96e-05,5.96e-05,5.96e-05
100,485.458,0.19567,0.17792,0.19769,0.87169,0.99708,1,0.995,0.995,0.99708,1,0.995,0.995,0.15256,0.1785,0.14352,0.83837,3.98e-05,3.98e-05,3.98e-05
