epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,274.259,0.31729,0.31643,0.27328,0.89677,0.99675,1,0.995,0.98195,0.99675,1,0.995,0.995,0.23336,0.19495,0.24067,0.78028,0.0007922,0.0007922,0.0007922
63,278.423,0.34591,0.33635,0.2832,0.92175,0.99673,1,0.995,0.96399,0.99673,1,0.995,0.995,0.22109,0.18654,0.24,0.77461,0.0007724,0.0007724,0.0007724
64,283.247,0.36031,0.35298,0.29093,0.91222,0.99667,1,0.995,0.97641,0.99667,1,0.995,0.995,0.26039,0.17577,0.22722,0.79418,0.0007526,0.0007526,0.0007526
65,287.139,0.34184,0.37691,0.2736,0.90115,0.99479,1,0.995,0.98324,0.99479,1,0.995,0.995,0.22105,0.18289,0.25098,0.78496,0.0007328,0.0007328,0.0007328
66,291.044,0.323,0.33146,0.25863,0.8935,0.99335,1,0.995,0.98917,0.99335,1,0.995,0.995,0.19339,0.18487,0.20931,0.77345,0.000713,0.000713,0.000713
67,295.807,0.31862,0.31915,0.26841,0.89062,0.99519,1,0.995,0.995,0.99519,1,0.995,0.995,0.20316,0.172,0.23407,0.76962,0.0006932,0.0006932,0.0006932
68,299.785,0.31159,0.32403,0.27635,0.90207,0.99006,1,0.995,0.98687,0.99006,1,0.995,0.995,0.20667,0.17269,0.22588,0.76944,0.0006734,0.0006734,0.0006734
69,303.579,0.3103,0.33029,0.26001,0.90013,0.99591,1,0.995,0.98883,0.99591,1,0.995,0.995,0.21833,0.18283,0.22712,0.77174,0.0006536,0.0006536,0.0006536
70,308.531,0.31453,0.34065,0.2485,0.88651,0.99598,1,0.995,0.995,0.99598,1,0.995,0.995,0.20052,0.18087,0.19941,0.76711,0.0006338,0.0006338,0.0006338
71,312.402,0.34872,0.3288,0.28096,0.9224,0.99557,1,0.995,0.9864,0.99557,1,0.995,0.995,0.21127,0.17063,0.21705,0.76821,0.000614,0.000614,0.000614
72,316.275,0.29159,0.29833,0.25172,0.89323,0.99616,1,0.995,0.995,0.99616,1,0.995,0.995,0.20139,0.1755,0.19669,0.757,0.0005942,0.0005942,0.0005942
73,321.222,0.31884,0.36948,0.25785,0.90049,0.99642,1,0.995,0.98129,0.99642,1,0.995,0.995,0.22612,0.18034,0.19397,0.77133,0.0005744,0.0005744,0.0005744
74,325.065,0.31196,0.33125,0.26291,0.89396,0.99634,1,0.995,0.98885,0.99634,1,0.995,0.995,0.21214,0.17399,0.17962,0.76089,0.0005546,0.0005546,0.0005546
75,328.971,0.32091,0.32762,0.25515,0.89284,0.99536,1,0.995,0.98922,0.99536,1,0.995,0.995,0.20872,0.16886,0.19761,0.76284,0.0005348,0.0005348,0.0005348
