epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1008.49,1.24053,0.8962,1.08863,0.77653,0.79164,0.82823,0.45933,1.47007,0.86495,1.17487,0.000337688,0.000337688,0.000337688
88,1020.15,1.23964,0.88123,1.06626,0.78778,0.78457,0.84677,0.46811,1.40716,0.85841,1.1648,0.000334778,0.000334778,0.000334778
89,1032.05,1.2798,0.92078,1.07541,0.76671,0.81783,0.83736,0.47502,1.54039,0.89644,1.24043,0.000331867,0.000331867,0.000331867
90,1043.83,1.30785,0.90207,1.10316,0.715,0.8666,0.83513,0.4735,1.48645,0.88955,1.20383,0.000328957,0.000328957,0.000328957
91,1055.72,1.24189,0.89553,1.08801,0.72841,0.83319,0.82208,0.46296,1.49907,0.90718,1.20174,0.000326046,0.000326046,0.000326046
92,1067.02,1.21895,0.86907,1.06263,0.74787,0.83001,0.82971,0.44385,1.58887,0.89373,1.25425,0.000323135,0.000323135,0.000323135
93,1077.59,1.22171,0.88067,1.08132,0.76933,0.80214,0.8419,0.47383,1.43139,0.87807,1.19661,0.000320225,0.000320225,0.000320225
94,1089.29,1.27079,0.89611,1.07372,0.7296,0.8165,0.82354,0.45721,1.49247,0.93188,1.21449,0.000317314,0.000317314,0.000317314
95,1101.01,1.2218,0.85788,1.05325,0.72148,0.85083,0.82664,0.43822,1.61963,0.85748,1.29525,0.000314404,0.000314404,0.000314404
96,1112.82,1.21973,0.85908,1.06875,0.72,0.76,0.7907,0.41269,1.64217,0.95552,1.27967,0.000311493,0.000311493,0.000311493
97,1124.75,1.21251,0.85281,1.05209,0.72019,0.8371,0.83037,0.45101,1.56122,0.88531,1.25727,0.000308582,0.000308582,0.000308582
98,1135.34,1.20173,0.8453,1.05935,0.79444,0.75229,0.84169,0.47566,1.43696,0.8252,1.19623,0.000305672,0.000305672,0.000305672
99,1146.91,1.21847,0.8353,1.05006,0.74037,0.84838,0.85622,0.48634,1.44133,0.78997,1.18251,0.000302761,0.000302761,0.000302761
100,1158.67,1.19508,0.84121,1.05636,0.70726,0.83158,0.82018,0.45436,1.5376,0.89151,1.25354,0.000299851,0.000299851,0.000299851
101,1170.6,1.22192,0.85069,1.05978,0.74688,0.81865,0.83441,0.46666,1.49318,0.84268,1.18645,0.00029694,0.00029694,0.00029694
102,1182.56,1.20926,0.82915,1.05814,0.7474,0.8022,0.83438,0.47563,1.48323,0.82897,1.21644,0.000294029,0.000294029,0.000294029
103,1194.29,1.21121,0.84505,1.05663,0.71677,0.83715,0.82086,0.46368,1.49664,0.904,1.23314,0.000291119,0.000291119,0.000291119
104,1204.88,1.23326,0.85761,1.07003,0.7097,0.84971,0.82345,0.46361,1.48164,0.85298,1.23835,0.000288208,0.000288208,0.000288208
105,1216.54,1.22607,0.86329,1.08663,0.75892,0.7382,0.80113,0.42436,1.58737,0.89281,1.26668,0.000285298,0.000285298,0.000285298
106,1228.41,1.19743,0.81442,1.05591,0.79654,0.79609,0.84104,0.45595,1.58961,0.85014,1.28613,0.000282387,0.000282387,0.000282387
107,1240.7,1.18098,0.81192,1.04378,0.71008,0.83662,0.84055,0.4625,1.4511,0.83802,1.22819,0.000279476,0.000279476,0.000279476
108,1252.62,1.20801,0.81427,1.05495,0.74634,0.81017,0.84765,0.46576,1.50875,0.83042,1.24754,0.000276566,0.000276566,0.000276566
109,1263.87,1.16878,0.80082,1.05275,0.76663,0.79864,0.8365,0.46257,1.54189,0.87822,1.27997,0.000273655,0.000273655,0.000273655
110,1274.88,1.18835,0.82693,1.06718,0.74555,0.80883,0.82348,0.44765,1.48097,0.87735,1.22793,0.000270745,0.000270745,0.000270745
111,1286.78,1.21898,0.81113,1.04511,0.71477,0.84904,0.84328,0.46884,1.51318,0.8502,1.24535,0.000267834,0.000267834,0.000267834
112,1298.63,1.19536,0.80386,1.05046,0.7102,0.8109,0.80062,0.42621,1.53073,0.8604,1.24763,0.000264923,0.000264923,0.000264923
113,1310.7,1.17092,0.79687,1.05324,0.8125,0.7394,0.81967,0.45971,1.51189,0.85155,1.25644,0.000262013,0.000262013,0.000262013
114,1322.74,1.17629,0.79385,1.04129,0.74416,0.8316,0.84628,0.47053,1.56772,0.81477,1.3041,0.000259102,0.000259102,0.000259102
115,1334.01,1.14483,0.78261,1.0458,0.74001,0.85225,0.82613,0.47301,1.51555,0.8401,1.24891,0.000256192,0.000256192,0.000256192
116,1345.37,1.19108,0.81514,1.05325,0.78891,0.76799,0.83634,0.45916,1.57005,0.85894,1.28123,0.000253281,0.000253281,0.000253281
117,1357.53,1.1745,0.79743,1.03852,0.81382,0.81961,0.87555,0.48671,1.52062,0.84519,1.24036,0.00025037,0.00025037,0.00025037
118,1369.44,1.14798,0.76621,1.03163,0.8735,0.75809,0.86024,0.46328,1.59528,0.84093,1.26724,0.00024746,0.00024746,0.00024746
119,1381.39,1.1392,0.7834,1.04293,0.81487,0.75002,0.84968,0.4682,1.52469,0.8629,1.25473,0.000244549,0.000244549,0.000244549
120,1393.3,1.17228,0.7873,1.05645,0.81788,0.79483,0.84713,0.47626,1.53104,0.85578,1.29073,0.000241639,0.000241639,0.000241639
121,1403.66,1.1536,0.76806,1.02875,0.77484,0.78971,0.83379,0.47054,1.44995,0.88785,1.20569,0.000238728,0.000238728,0.000238728
122,1415.24,1.14696,0.77964,1.04084,0.85338,0.73922,0.83779,0.46165,1.52394,0.86305,1.21904,0.000235817,0.000235817,0.000235817
123,1427.2,1.15024,0.76246,1.01822,0.84848,0.78287,0.87329,0.49506,1.48423,0.8511,1.22753,0.000232907,0.000232907,0.000232907
124,1438.95,1.13707,0.77335,1.03149,0.78675,0.79034,0.84698,0.46244,1.58236,0.88846,1.2904,0.000229996,0.000229996,0.000229996
125,1450.92,1.13299,0.76635,1.01812,0.79071,0.79821,0.83258,0.47218,1.42313,0.82244,1.23862,0.000227086,0.000227086,0.000227086
126,1462.22,1.13686,0.76688,1.01277,0.77699,0.80203,0.84695,0.47563,1.5415,0.83759,1.25563,0.000224175,0.000224175,0.000224175
127,1473.05,1.12638,0.76312,1.03261,0.80069,0.81646,0.85437,0.47913,1.53846,0.82014,1.26224,0.000221264,0.000221264,0.000221264
128,1484.96,1.14337,0.7464,1.0294,0.82139,0.8028,0.86622,0.48556,1.55345,0.80278,1.25908,0.000218354,0.000218354,0.000218354
129,1496.69,1.12186,0.75667,1.01764,0.7978,0.81597,0.86945,0.46987,1.62109,0.80863,1.30186,0.000215443,0.000215443,0.000215443
130,1508.63,1.11842,0.74391,1.02157,0.78225,0.78985,0.84417,0.47221,1.58393,0.84937,1.31015,0.000212533,0.000212533,0.000212533
131,1520.69,1.14341,0.7673,1.05243,0.77412,0.83359,0.84938,0.48039,1.57018,0.85257,1.30397,0.000209622,0.000209622,0.000209622
132,1531.37,1.1509,0.75023,1.01109,0.83673,0.75706,0.85252,0.48713,1.50722,0.84361,1.26909,0.000206711,0.000206711,0.000206711
133,1542.94,1.1168,0.75421,1.02582,0.83423,0.76624,0.84627,0.47292,1.57321,0.83056,1.29243,0.000203801,0.000203801,0.000203801
134,1554.86,1.1178,0.75465,1.02839,0.83132,0.77886,0.84982,0.47269,1.54062,0.8438,1.25405,0.00020089,0.00020089,0.00020089
135,1566.82,1.10497,0.73194,1.01363,0.71938,0.85159,0.83575,0.45308,1.60594,0.87577,1.29917,0.00019798,0.00019798,0.00019798
